"","species_name","Opp_period1","Opp_period2","Opp_period3","trend","kingdom","class","usageKey","acceptedUsageKey"
"1","Alosa fallax",933960291.46489,956918266.292834,1057987738.95411,"increasing","Animalia","",2412623,NA
"2","Alytes obstetricans",1403698369.88208,1032159714.2929,632686592.635092,"decreasing","Animalia","Amphibia",2426612,NA
"3","Anisus vorticulus",996449123.630843,498182860.929116,197238402.281912,"decreasing","Animalia","Gastropoda",4562143,NA
"4","Barbastella barbastellus",923849537.702647,NA,424881172.15049,"unclear","Animalia","Mammalia",2432582,NA
"5","Barbus barbus",62576066.8520221,319798091.421429,167034296.444697,"unclear","Animalia","",5739539,NA
"6","Castor fiber",2568846679.96141,1722104892.92745,5958334163.05458,"unclear","Animalia","Mammalia",4409131,NA
"7","Cobitis taenia",3125605942.95648,NA,NA,"unclear","Animalia","",2368185,NA
"8","Coronella austriaca",1851078890.30776,1087027086.43183,900229957.183051,"decreasing","","",NA,NA
"9","Cricetus cricetus",1463431710.58048,254527167.467447,208328630.681354,"decreasing","Animalia","Mammalia",2438704,NA
"10","Eptesicus serotinus",13544828163.1347,12887797565.9173,10798927778.7708,"decreasing","Animalia","Mammalia",2432359,NA
"11","Helix pomatia",1673415924.91149,8111060907.91329,7707063825.37418,"unclear","Animalia","Gastropoda",2294287,NA
"12","Hyla arborea",840923239.905654,1111842026.93787,1214252568.04309,"increasing","Animalia","Amphibia",2427573,NA
"13","Lampetra fluviatilis",2718913879.15353,1938100359.8298,1517367970.33448,"decreasing","Animalia","Petromyzonti",2421365,NA
"14","Lampetra planeri",2609132670.55125,1662303976.89358,1662736088.87399,"unclear","Animalia","Petromyzonti",2421402,NA
"15","Leucobryum glaucum",7584326271.7479,6122451249.20727,5393391210.85951,"decreasing","Plantae","Bryopsida",2675719,NA
"16","Leucorrhinia pectoralis",1772228590.8716,2375463940.42705,4595781444.88651,"increasing","Animalia","Insecta",1429194,NA
"17","Liparis loeselii",289440742.98556,177355107.218714,177355136.160516,"unclear","","",NA,NA
"18","Lucanus cervus",2557583890.05603,1403005701.07802,338388570.032197,"decreasing","Animalia","Insecta",5743122,NA
"19","Luronium natans",3021117136.28318,1734492261.91153,1724059335.41282,"decreasing","Plantae","Liliopsida",2864775,NA
"20","Lutra lutra",784113651.862239,810182671.019011,NA,"unclear","Animalia","Mammalia",2433753,NA
"21","Lycopodium spp.",5094867874.83173,3805525070.47819,4303310771.6845,"unclear","Plantae","Lycopodiopsida",2688247,NA
"22","Martes martes",3270398687.88458,2642130583.7164,2370745874.15123,"decreasing","Animalia","Mammalia",5218878,NA
"23","Misgurnus fossilis",1632918095.83785,814611125.629739,153173579.108121,"decreasing","Animalia","",2367936,NA
"24","Mustela putorius",13536425922.2314,12550448642.0633,13049492277.3299,"unclear","Animalia","Mammalia",5218911,NA
"25","Myotis bechsteinii",530369123.409102,520412514.801185,577846192.737183,"unclear","Animalia","Mammalia",2432427,NA
"26","Myotis brandtii",11586279735.3093,357055937.842963,506928919.847167,"unclear","Animalia","Mammalia",7261875,NA
"27","Myotis dasycneme",7474690283.57704,1553642647.78797,3409196955.30662,"unclear","Animalia","Mammalia",2432452,NA
"28","Myotis daubentonii",13545596032.8454,12955929074.9107,9691208128.93087,"decreasing","Animalia","Mammalia",2432439,NA
"29","Myotis emarginatus",3395005643.95602,1513015989.22945,3643270937.41051,"unclear","Animalia","Mammalia",2432470,NA
"30","Myotis myotis",423919383.638373,42515747.5315392,168595204.294881,"unclear","Animalia","Mammalia",2432416,NA
"31","Myotis mystacinus",11586279735.3093,9610757339.77055,6507593090.51206,"decreasing","Animalia","Mammalia",9754263,NA
"32","Myotis nattereri",8319305658.29006,6902202795.23838,6294629646.47447,"decreasing","Animalia","Mammalia",2432389,NA
"33","Nyctalus leisleri",834250527.701106,1020500284.14321,3907533033.59707,"increasing","Animalia","Mammalia",5218522,NA
"34","Nyctalus noctula",11675195337.6079,10288369442.3335,8503587285.16958,"decreasing","Animalia","Mammalia",5218524,NA
"35","Pelobates fuscus",639585053.885342,597823398.962908,298913829.588289,"decreasing","Animalia","Amphibia",2430567,NA
"36","Pipistrellus nathusii",10819553730.6489,8472171168.2415,9610100520.42415,"unclear","Animalia","Mammalia",5218471,NA
"37","Pipistrellus pipistrellus",13487942092.1106,13197465823.6973,13129927757.9316,"decreasing","Animalia","Mammalia",5218465,NA
"38","Plecotus auritus",12859353630.7983,11301386594.7486,10575082239.7868,"decreasing","Animalia","Mammalia",5218507,NA
"39","Plecotus austriacus",12859353630.7983,319647487.461589,3366492552.74274,"unclear","Animalia","Mammalia",5739437,NA
"40","Podarcis muralis",90971465.2278311,59665208.1999041,2949645314.26666,"unclear","Animalia","Squamata",2469188,NA
"41","Proserpinus proserpina",90064773.6465485,3503903802.49009,6066095001.66013,"increasing","Animalia","Insecta",1864161,NA
"42","Rana arvalis",2663858162.11723,2489743172.57055,1906466909.50053,"decreasing","Animalia","Amphibia",2426789,NA
"43","Rana temporaria",13566850971.4284,13231243769.2336,13222425330.4534,"decreasing","Animalia","Amphibia",2426805,NA
"44","Rhinolophus ferrumequinum",37129658.0768678,3522287.17955478,NA,"unclear","Animalia","Mammalia",2432655,NA
"45","Salmo salar",288312884.044469,NA,61846832.4295014,"unclear","Animalia","",7595433,NA
"46","Sphagnum spp.",9426775776.93192,6620831286.81334,7358005445.90213,"unclear","Plantae","Sphagnopsida",2668958,NA
"47","Stylurus flavipes",880370397.117486,561284023.872757,1093411545.76419,"unclear","Animalia","Insecta",5051901,NA
"48","Triturus cristatus",9303401582.06218,8813778195.86816,6647728839.06286,"decreasing","Animalia","Amphibia",2431885,NA
"49","Vertigo angustior",951296796.557043,509370280.609417,501108228.897363,"decreasing","Animalia","Gastropoda",4567182,NA
"50","Vertigo moulinsiana",2278792807.1163,1830955615.38236,1580961795.3223,"decreasing","Animalia","Gastropoda",4567215,NA
"51","Vespertilio murinus",775124787.118856,NA,NA,"unclear","Animalia","Mammalia",2432564,NA
