"","verbatim_name","usageKey","scientificName","status","rank","matchType","confidence","acceptedUsageKey","kingdomKey","phylumKey","classKey","orderKey","familyKey"
"1","Alisma gramineum",2865152,"Alisma gramineum Lej.","ACCEPTED","SPECIES","EXACT",98,2865152,6,7707728,196,551,3720
"2","Alisma gramineum",2865152,"Alisma gramineum Lej.","ACCEPTED","SPECIES","EXACT",98,2865152,6,7707728,196,551,3720
"3","Alisma gramineum",2865152,"Alisma gramineum Lej.","ACCEPTED","SPECIES","EXACT",98,2865152,6,7707728,196,551,3720
"4","Alisma lanceolatum",2865125,"Alisma lanceolatum With.","ACCEPTED","SPECIES","EXACT",97,2865125,6,7707728,196,551,3720
"5","Alisma lanceolatum",2865125,"Alisma lanceolatum With.","ACCEPTED","SPECIES","EXACT",97,2865125,6,7707728,196,551,3720
"6","Alisma lanceolatum",2865125,"Alisma lanceolatum With.","ACCEPTED","SPECIES","EXACT",97,2865125,6,7707728,196,551,3720
"7","Alisma lanceolatum",2865125,"Alisma lanceolatum With.","ACCEPTED","SPECIES","EXACT",97,2865125,6,7707728,196,551,3720
"8","Alisma plantago-aquatica",2865100,"Alisma plantago-aquatica L.","ACCEPTED","SPECIES","EXACT",99,2865100,6,7707728,196,551,3720
"9","Alisma plantago-aquatica",2865100,"Alisma plantago-aquatica L.","ACCEPTED","SPECIES","EXACT",99,2865100,6,7707728,196,551,3720
"10","Alisma plantago-aquatica",2865100,"Alisma plantago-aquatica L.","ACCEPTED","SPECIES","EXACT",99,2865100,6,7707728,196,551,3720
"11","Alisma plantago-aquatica",2865100,"Alisma plantago-aquatica L.","ACCEPTED","SPECIES","EXACT",99,2865100,6,7707728,196,551,3720
"12","Baldellia ranunculoides",2864546,"Baldellia ranunculoides (L.) Parl.","ACCEPTED","SPECIES","EXACT",99,2864546,6,7707728,196,551,3720
"13","Baldellia ranunculoides",2864546,"Baldellia ranunculoides (L.) Parl.","ACCEPTED","SPECIES","EXACT",99,2864546,6,7707728,196,551,3720
"14","Luronium natans",2864775,"Luronium natans (L.) Raf.","ACCEPTED","SPECIES","EXACT",99,2864775,6,7707728,196,551,3720
"15","Luronium natans",2864775,"Luronium natans (L.) Raf.","ACCEPTED","SPECIES","EXACT",99,2864775,6,7707728,196,551,3720
"16","Luronium natans",2864775,"Luronium natans (L.) Raf.","ACCEPTED","SPECIES","EXACT",99,2864775,6,7707728,196,551,3720
"17","Sagittaria sagittifolia",5328882,"Sagittaria sagittifolia L.","ACCEPTED","SPECIES","EXACT",98,5328882,6,7707728,196,551,3720
"18","Sagittaria sagittifolia",5328882,"Sagittaria sagittifolia L.","ACCEPTED","SPECIES","EXACT",98,5328882,6,7707728,196,551,3720
"19","Sagittaria sagittifolia",5328882,"Sagittaria sagittifolia L.","ACCEPTED","SPECIES","EXACT",98,5328882,6,7707728,196,551,3720
"20","Sagittaria sagittifolia",5328882,"Sagittaria sagittifolia L.","ACCEPTED","SPECIES","EXACT",98,5328882,6,7707728,196,551,3720
"21","Atriplex glabriuscula",3083660,"Atriplex glabriuscula Edmondston","ACCEPTED","SPECIES","EXACT",99,3083660,6,7707728,220,422,3064
"22","Atriplex glabriuscula",3083660,"Atriplex glabriuscula Edmondston","ACCEPTED","SPECIES","EXACT",99,3083660,6,7707728,220,422,3064
"23","Atriplex laciniata",3083783,"Atriplex laciniata L.","ACCEPTED","SPECIES","EXACT",97,3083783,6,7707728,220,422,3064
"24","Atriplex laciniata",3083783,"Atriplex laciniata L.","ACCEPTED","SPECIES","EXACT",97,3083783,6,7707728,220,422,3064
"25","Atriplex littoralis",3083696,"Atriplex littoralis L.","ACCEPTED","SPECIES","EXACT",97,3083696,6,7707728,220,422,3064
"26","Atriplex littoralis",3083696,"Atriplex littoralis L.","ACCEPTED","SPECIES","EXACT",97,3083696,6,7707728,220,422,3064
"27","Atriplex patula",3083728,"Atriplex patula L.","ACCEPTED","SPECIES","EXACT",98,3083728,6,7707728,220,422,3064
"28","Atriplex patula",3083728,"Atriplex patula L.","ACCEPTED","SPECIES","EXACT",98,3083728,6,7707728,220,422,3064
"29","Atriplex patula",3083728,"Atriplex patula L.","ACCEPTED","SPECIES","EXACT",98,3083728,6,7707728,220,422,3064
"30","Atriplex patula",3083728,"Atriplex patula L.","ACCEPTED","SPECIES","EXACT",98,3083728,6,7707728,220,422,3064
"31","Atriplex pedunculata",3755818,"Atriplex pedunculata L.","SYNONYM","SPECIES","EXACT",98,3756036,6,7707728,220,422,3064
"32","Atriplex pedunculata",3755818,"Atriplex pedunculata L.","SYNONYM","SPECIES","EXACT",98,3756036,6,7707728,220,422,3064
"33","Atriplex prostrata",3083786,"Atriplex prostrata DC.","ACCEPTED","SPECIES","EXACT",97,3083786,6,7707728,220,422,3064
"34","Atriplex prostrata",3083786,"Atriplex prostrata DC.","ACCEPTED","SPECIES","EXACT",97,3083786,6,7707728,220,422,3064
"35","Atriplex prostrata",3083786,"Atriplex prostrata DC.","ACCEPTED","SPECIES","EXACT",97,3083786,6,7707728,220,422,3064
"36","Atriplex prostrata",3083786,"Atriplex prostrata DC.","ACCEPTED","SPECIES","EXACT",97,3083786,6,7707728,220,422,3064
"37","Beta vulgaris",8971274,"Beta vulgaris L.","ACCEPTED","SPECIES","EXACT",99,8971274,6,7707728,220,422,3064
