"","verbatim_name","usageKey","scientificName","status","rank","matchType","confidence","acceptedUsageKey","kingdomKey","phylumKey","classKey","orderKey","familyKey"
"1","Accipiter gentilis",2480589,"Accipiter gentilis (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7191147,2877
"2","Accipiter nisus",2480637,"Accipiter nisus (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7191147,2877
"3","Buteo buteo",2480537,"Buteo buteo (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7191147,2877
"4","Circus aeruginosus",2480482,"Circus aeruginosus (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7191147,2877
"5","Circus cyaneus",2480487,"Circus cyaneus (Linnaeus, 1766)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7191147,2877
"6","Circus pygargus",2480495,"Circus pygargus (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7191147,2877
"7","Haliaeetus albicilla",2480449,"Haliaeetus albicilla (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7191147,2877
"8","Milvus migrans",5229167,"Milvus migrans (Boddaert, 1783)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7191147,2877
"9","Milvus milvus",5229168,"Milvus milvus (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7191147,2877
"10","Pernis apivorus",2480420,"Pernis apivorus (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7191147,2877
"11","Acrocephalus agricola",2493137,"Acrocephalus agricola (Jerdon, 1845)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,6101019
"12","Acrocephalus arundinaceus",2493128,"Acrocephalus arundinaceus (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",98,NA,1,44,212,729,6101019
"13","Acrocephalus dumetorum",2493145,"Acrocephalus dumetorum Blyth, 1849","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,6101019
"14","Acrocephalus melanopogon",2493124,"Acrocephalus melanopogon (Temminck, 1823)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,6101019
"15","Acrocephalus paludicola",2493114,"Acrocephalus paludicola (Vieillot, 1817)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,6101019
"16","Acrocephalus palustris",2493136,"Acrocephalus palustris (Bechstein, 1798)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,6101019
"17","Acrocephalus schoenobaenus",2493129,"Acrocephalus schoenobaenus (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,6101019
"18","Acrocephalus scirpaceus",2493118,"Acrocephalus scirpaceus (Hermann, 1804)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,6101019
"19","Hippolais icterina",2493220,"Hippolais icterina (Vieillot, 1817)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,6101019
"20","Hippolais polyglotta",2493214,"Hippolais polyglotta (Vieillot, 1817)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,6101019
"21","Iduna caligata",5739359,"Iduna caligata (Lichtenstein, 1823)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,6101019
"22","Aegithalos caudatus",2495000,"Aegithalos caudatus (Linnaeus, 1758)","DOUBTFUL","SPECIES","EXACT",97,NA,1,44,212,729,2878
"23","Alauda arvensis",8077224,"Alauda arvensis Linnaeus, 1758","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,7211
"24","Eremophila alpestris",9415596,"Eremophila alpestris (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,7211
"25","Galerida cristata",2490669,"Galerida cristata (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,7211
"26","Lullula arborea",2490604,"Lullula arborea (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,7211
"27","Melanocorypha calandra",2490613,"Melanocorypha calandra (Linnaeus, 1766)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,7211
"28","Alcedo atthis",2475532,"Alcedo atthis (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,1447,2984
"29","Alca torda",8277073,"Alca torda Linnaeus, 1758","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7192402,2985
"30","Alle alle",2481299,"Alle alle (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7192402,2985
"31","Fratercula arctica",2481353,"Fratercula arctica (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7192402,2985
"32","Uria aalge",2481342,"Uria aalge (Pontoppidan, 1763)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7192402,2985
"33","Anas acuta",2498112,"Anas acuta Linnaeus, 1758","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,1108,2986
"34","Anas crecca",8214667,"Anas crecca Linnaeus, 1758","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,1108,2986
"35","Anas platyrhynchos",9761484,"Anas platyrhynchos Linnaeus, 1758","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,1108,2986
"36","Anser albifrons",2498017,"Anser albifrons (Scopoli, 1769)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,1108,2986
"37","Anser anser",2498036,"Anser anser (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,1108,2986
"38","Anser brachyrhynchus",2498024,"Anser brachyrhynchus Baillon, 1834","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,1108,2986
"39","Anser rossii",2498161,"Anser rossii Cassin, 1861","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,1108,2986
"40","Anser serrirostris",7340170,"Anser serrirostris Gould, 1852","ACCEPTED","SPECIES","EXACT",98,NA,1,44,212,1108,2986
"41","Aythya americana",2498263,"Aythya americana (Eyton, 1838)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,1108,2986
"42","Aythya ferina",2498255,"Aythya ferina (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,1108,2986
"43","Aythya fuligula",2498261,"Aythya fuligula (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,1108,2986
"44","Aythya marila",2498265,"Aythya marila (Linnaeus, 1761)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,1108,2986
"45","Branta bernicla",5232446,"Branta bernicla (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,1108,2986
"46","Branta leucopsis",5232464,"Branta leucopsis (Bechstein, 1803)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,1108,2986
"47","Bucephala clangula",2498326,"Bucephala clangula (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,1108,2986
"48","Clangula hyemalis",2498273,"Clangula hyemalis (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,1108,2986
"49","Cygnus columbianus",2498338,"Cygnus columbianus (Ord, 1815)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,1108,2986
"50","Cygnus cygnus",2498347,"Cygnus cygnus (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,1108,2986
"51","Cygnus olor",2498343,"Cygnus olor (J.F.Gmelin, 1789)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,1108,2986
"52","Mareca penelope",8000602,"Mareca penelope (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,1108,2986
"53","Mareca strepera",9362027,"Mareca strepera (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,1108,2986
"54","Melanitta fusca",2498238,"Melanitta fusca (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,1108,2986
"55","Melanitta nigra",2498247,"Melanitta nigra (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,1108,2986
"56","Mergellus albellus",2498285,"Mergellus albellus (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,1108,2986
"57","Mergus merganser",9537647,"Mergus merganser Linnaeus, 1758","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,1108,2986
"58","Mergus serrator",2498375,"Mergus serrator Linnaeus, 1758","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,1108,2986
"59","Netta rufina",2498180,"Netta rufina (Pallas, 1773)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,1108,2986
"60","Somateria mollissima",2498352,"Somateria mollissima (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,1108,2986
"61","Spatula clypeata",8332393,"Spatula clypeata (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,1108,2986
"62","Spatula querquedula",9274012,"Spatula querquedula (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,1108,2986
"63","Tadorna tadorna",2498009,"Tadorna tadorna (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,1108,2986
"64","Apus apus",5228676,"Apus apus (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,1448,2993
"65","Ardea alba",9752617,"Ardea alba Linnaeus, 1758","ACCEPTED","SPECIES","EXACT",97,NA,1,44,212,7190953,3685
"66","Ardea cinerea",9797180,"Ardea cinerea Linnaeus, 1758","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7190953,3685
"67","Ardea purpurea",2480934,"Ardea purpurea Linnaeus, 1766","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7190953,3685
"68","Botaurus stellaris",2480910,"Botaurus stellaris (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7190953,3685
"69","Bubulcus ibis",2480830,"Bubulcus ibis (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7190953,3685
"70","Egretta caerulea",2480894,"Egretta caerulea (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7190953,3685
"71","Egretta garzetta",2480876,"Egretta garzetta (Linnaeus, 1766)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7190953,3685
"72","Ixobrychus minutus",2480850,"Ixobrychus minutus (Linnaeus, 1766)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7190953,3685
"73","Nycticorax nycticorax",2480863,"Nycticorax nycticorax (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7190953,3685
"74","Burhinus oedicnemus",2482100,"Burhinus oedicnemus (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7192402,9697
"75","Calcarius lapponicus",2491678,"Calcarius lapponicus (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,6101141
"76","Plectrophenax nivalis",2491719,"Plectrophenax nivalis (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,6101141
"77","Caprimulgus europaeus",8109681,"Caprimulgus europaeus Linnaeus, 1758","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,8510645,5225
"78","Certhia brachydactyla",7806848,"Certhia brachydactyla C.L.Brehm, 1820","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,5227
"79","Certhia familiaris",2487603,"Certhia familiaris Linnaeus, 1758","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,5227
"80","Cettia cetti",2493012,"Cettia cetti (Temminck, 1820)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,729,6100900
"81","Anarhynchus alexandrinus",9372299,"Anarhynchus alexandrinus","SYNONYM","SPECIES","EXACT",98,2480311,1,44,212,7192402,2480210
"82","Charadrius dubius",7937336,"Charadrius dubius Scopoli, 1786","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7192402,2480210
"83","Charadrius hiaticula",9566659,"Charadrius hiaticula Linnaeus, 1758","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7192402,2480210
"84","Eudromias morinellus",2480282,"Eudromias morinellus (Linnaeus, 1758)","SYNONYM","SPECIES","EXACT",98,2480281,1,44,212,7192402,2480210
"85","Pluvialis apricaria",2480332,"Pluvialis apricaria (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7192402,2480210
"86","Pluvialis squatarola",2480327,"Pluvialis squatarola (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7192402,2480210
"87","Vanellus vanellus",2480242,"Vanellus vanellus (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,7192402,2480210
"88","Ciconia ciconia",2481912,"Ciconia ciconia (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,839,9289
"89","Ciconia nigra",2481909,"Ciconia nigra (Linnaeus, 1758)","ACCEPTED","SPECIES","EXACT",99,NA,1,44,212,839,9289
