"","eeacellcode","pd"
"1","1kmE1541N3617",205.0163905
"2","1kmE2688N3310",205.01639
"3","1kmE3105N3862",205.0163905
"4","1kmE3490N3250",205.016391
"5","1kmE3550N4181",205.016389
"6","1kmE3741N3778",205.016391
"7","1kmE3743N3164",205.01639
"8","1kmE3770N3370",205.0163915
"9","1kmE3783N3132",205.01639
"10","1kmE3789N3144",205.0163895
"11","1kmE3790N3116",205.0163905
"12","1kmE3791N3139",205.01639
"13","1kmE3791N3142",205.0163895
"14","1kmE3793N3139",205.0163905
"15","1kmE3794N3142",205.01639
"16","1kmE3796N3113",205.01639
"17","1kmE3796N3127",205.0163895
"18","1kmE3798N3130",2530.603666
"19","1kmE3798N3131",6287.289446
"20","1kmE3798N3132",7807.79957
"21","1kmE3798N3133",3742.090121
"22","1kmE3799N3091",205.0163895
"23","1kmE3799N3104",205.01639
"24","1kmE3799N3106",205.01639
"25","1kmE3799N3107",1595.8736875
"26","1kmE3799N3108",1666.545405
"27","1kmE3799N3109",1966.858364
"28","1kmE3799N3110",1873.375888
"29","1kmE3799N3111",850.445899
"30","1kmE3799N3129",2036.0463305
"31","1kmE3799N3130",10325.5718215
"32","1kmE3799N3131",9435.4820925
"33","1kmE3799N3132",10930.601398
"34","1kmE3799N3133",10449.6756955
"35","1kmE3799N3134",4919.758962
"36","1kmE3800N3104",205.01639
"37","1kmE3800N3105",971.4055065
"38","1kmE3800N3106",2117.026516
"39","1kmE3800N3107",2866.619192
"40","1kmE3800N3108",3416.4168475
"41","1kmE3800N3109",2216.9113245
"42","1kmE3800N3110",2780.3431325
"43","1kmE3800N3111",2110.4709285
"44","1kmE3800N3112",1188.3218475
"45","1kmE3800N3115",205.0163905
"46","1kmE3800N3116",205.016391
"47","1kmE3800N3117",1098.325553
"48","1kmE3800N3118",1449.6366925
"49","1kmE3800N3119",1820.5156795
"50","1kmE3800N3120",1461.179219
"51","1kmE3800N3121",466.755399
"52","1kmE3800N3126",205.0163895
"53","1kmE3800N3127",205.016389
"54","1kmE3800N3128",205.01639
"55","1kmE3800N3129",7354.8478315
"56","1kmE3800N3130",9919.313965
"57","1kmE3800N3131",10445.629515
"58","1kmE3800N3132",17335.5054175
"59","1kmE3800N3133",21505.8334935
"60","1kmE3800N3134",20170.8188165
"61","1kmE3800N3135",16531.07456
"62","1kmE3800N3136",8062.935899
"63","1kmE3800N3137",205.0163905
"64","1kmE3800N3139",205.0163905
"65","1kmE3801N3104",403.8964465
"66","1kmE3801N3105",2920.850943
"67","1kmE3801N3106",3754.1032935
"68","1kmE3801N3107",3275.6750575
"69","1kmE3801N3108",4449.762933
"70","1kmE3801N3109",4388.1017555
"71","1kmE3801N3110",2727.222206
"72","1kmE3801N3111",2277.0004545
"73","1kmE3801N3112",3104.6143235
"74","1kmE3801N3113",2145.6740235
"75","1kmE3801N3114",1504.0357225
"76","1kmE3801N3115",3710.5311885
"77","1kmE3801N3116",3982.681975
"78","1kmE3801N3117",1661.004645
"79","1kmE3801N3118",2450.6043375
"80","1kmE3801N3119",2187.468081
"81","1kmE3801N3120",2138.2220665
"82","1kmE3801N3121",2332.009857
"83","1kmE3801N3122",1395.128161
"84","1kmE3801N3123",1237.205135
"85","1kmE3801N3124",1250.4072865
"86","1kmE3801N3125",2780.1424685
"87","1kmE3801N3126",403.896448
"88","1kmE3801N3127",1873.3871365
"89","1kmE3801N3128",726.056527
"90","1kmE3801N3129",8204.37171
"91","1kmE3801N3130",10217.6961985
"92","1kmE3801N3131",11978.119431
"93","1kmE3801N3132",16925.743392
"94","1kmE3801N3133",19691.1623275
"95","1kmE3801N3134",21514.866105
"96","1kmE3801N3135",20305.719973
"97","1kmE3801N3136",10503.4058125
"98","1kmE3801N3137",382.506487
"99","1kmE3801N3154",205.0163905
"100","1kmE3802N3104",1553.527098
"101","1kmE3802N3105",5038.4628335
"102","1kmE3802N3106",3891.2971225
"103","1kmE3802N3107",6541.0471135
"104","1kmE3802N3108",5512.4209275
"105","1kmE3802N3109",5528.00785
"106","1kmE3802N3110",3740.1520825
"107","1kmE3802N3111",2641.551553
"108","1kmE3802N3112",2856.7808935
"109","1kmE3802N3113",3355.9061075
"110","1kmE3802N3114",4732.318121
"111","1kmE3802N3115",8152.716031
"112","1kmE3802N3116",4882.2834905
"113","1kmE3802N3117",3729.64515
"114","1kmE3802N3118",3289.6245445
"115","1kmE3802N3119",2910.119313
"116","1kmE3802N3120",2120.0111575
"117","1kmE3802N3121",3322.634493
"118","1kmE3802N3122",5193.7936705
"119","1kmE3802N3123",4176.671597
"120","1kmE3802N3124",3261.024242
"121","1kmE3802N3125",3588.921166
"122","1kmE3802N3126",6207.212995
"123","1kmE3802N3127",6562.3723215
"124","1kmE3802N3128",4548.4389285
"125","1kmE3802N3129",8017.3554685
"126","1kmE3802N3130",10665.059907
"127","1kmE3802N3131",14163.2367305
"128","1kmE3802N3132",16466.888416
"129","1kmE3802N3133",17463.702357
"130","1kmE3802N3134",19624.618557
"131","1kmE3802N3135",17327.089755
"132","1kmE3802N3136",11432.3392645
"133","1kmE3802N3137",1418.8429485
"134","1kmE3802N3139",205.01639
"135","1kmE3803N3103",205.016391
"136","1kmE3803N3104",1784.143302
"137","1kmE3803N3105",5528.1949815
"138","1kmE3803N3106",4580.188714
"139","1kmE3803N3107",5498.308171
"140","1kmE3803N3108",4320.493658
"141","1kmE3803N3109",3586.7685395
"142","1kmE3803N3110",2958.7481675
"143","1kmE3803N3111",2385.576378
"144","1kmE3803N3112",3388.6696555
"145","1kmE3803N3113",4598.9334195
"146","1kmE3803N3114",3396.6696065
"147","1kmE3803N3115",5789.4000255
"148","1kmE3803N3116",8755.4462925
"149","1kmE3803N3117",4605.292843
"150","1kmE3803N3118",6672.1034865
"151","1kmE3803N3119",2512.6031245
"152","1kmE3803N3120",2433.2450395
"153","1kmE3803N3121",3753.682303
"154","1kmE3803N3122",5513.2005495
"155","1kmE3803N3123",7410.0105525
"156","1kmE3803N3124",3990.648961
"157","1kmE3803N3125",7316.7516455
"158","1kmE3803N3126",10271.526734
"159","1kmE3803N3127",5803.6687325
"160","1kmE3803N3128",5023.4736825
"161","1kmE3803N3129",7241.499305
"162","1kmE3803N3130",10220.0289875
"163","1kmE3803N3131",13493.9646205
"164","1kmE3803N3132",16531.063657
"165","1kmE3803N3133",16467.667538
"166","1kmE3803N3134",19824.6213475
"167","1kmE3803N3135",19920.8998475
"168","1kmE3803N3136",17991.9105745
"169","1kmE3803N3137",13012.603511
"170","1kmE3803N3138",913.198555999999
"171","1kmE3804N3096",205.016391
"172","1kmE3804N3104",1733.1298915
"173","1kmE3804N3105",6319.616758
"174","1kmE3804N3106",9153.1459385
"175","1kmE3804N3107",6797.410107
"176","1kmE3804N3108",7696.2643245
"177","1kmE3804N3109",4705.2607765
"178","1kmE3804N3110",6544.8062455
"179","1kmE3804N3111",3672.7591575
"180","1kmE3804N3112",3353.441143
"181","1kmE3804N3113",4084.9629555
"182","1kmE3804N3114",2558.4353795
"183","1kmE3804N3115",3687.8740345
"184","1kmE3804N3116",6935.9798905
"185","1kmE3804N3117",10777.561015
"186","1kmE3804N3118",4384.9217895
"187","1kmE3804N3119",3118.9765845
"188","1kmE3804N3120",3662.3477245
"189","1kmE3804N3121",4285.804738
"190","1kmE3804N3122",6592.3347455
"191","1kmE3804N3123",9462.078102
"192","1kmE3804N3124",3263.228157
"193","1kmE3804N3125",6800.218492
"194","1kmE3804N3126",5620.9427485
"195","1kmE3804N3127",5743.5619945
"196","1kmE3804N3128",4934.2804045
"197","1kmE3804N3129",8914.439164
"198","1kmE3804N3130",7378.156665
"199","1kmE3804N3131",6694.5083355
"200","1kmE3804N3132",8657.6887365
"201","1kmE3804N3133",16403.6114305
"202","1kmE3804N3134",18411.1592055
"203","1kmE3804N3135",21456.4385335
"204","1kmE3804N3136",17804.8791985
"205","1kmE3804N3137",15950.595178
"206","1kmE3804N3138",8734.716025
"207","1kmE3805N3104",3810.950997
"208","1kmE3805N3105",7450.5229315
"209","1kmE3805N3106",10250.039079
"210","1kmE3805N3107",10199.554233
"211","1kmE3805N3108",8667.992492
"212","1kmE3805N3109",9789.9504445
"213","1kmE3805N3110",11231.5195245
"214","1kmE3805N3111",7419.307382
"215","1kmE3805N3112",8452.23757
"216","1kmE3805N3113",6041.2991375
"217","1kmE3805N3114",3143.2249205
"218","1kmE3805N3115",3020.3652805
"219","1kmE3805N3116",3768.630816
"220","1kmE3805N3117",8966.283216
"221","1kmE3805N3118",8951.1172685
"222","1kmE3805N3119",4163.150935
"223","1kmE3805N3120",5042.8731905
"224","1kmE3805N3121",4275.64888
"225","1kmE3805N3122",6270.892412
"226","1kmE3805N3123",6970.1913735
"227","1kmE3805N3124",2550.9823225
"228","1kmE3805N3125",6909.235569
"229","1kmE3805N3126",8914.1713545
"230","1kmE3805N3127",10255.586623
"231","1kmE3805N3128",7417.1337975
"232","1kmE3805N3129",10202.972731
"233","1kmE3805N3130",7724.156105
"234","1kmE3805N3131",8092.1161415
"235","1kmE3805N3132",7624.271273
"236","1kmE3805N3133",17362.028425
"237","1kmE3805N3134",17559.8649675
"238","1kmE3805N3135",21617.7823665
"239","1kmE3805N3136",19068.6986135
"240","1kmE3805N3137",17124.810143
"241","1kmE3805N3138",12353.7307305
"242","1kmE3806N3104",2199.965545
"243","1kmE3806N3105",5514.6327055
"244","1kmE3806N3106",7582.4582055
"245","1kmE3806N3107",7825.895082
"246","1kmE3806N3108",6005.2899025
"247","1kmE3806N3109",10894.5627295
"248","1kmE3806N3110",9724.544279
"249","1kmE3806N3111",9006.219961
"250","1kmE3806N3112",9405.7332705
"251","1kmE3806N3113",8990.561407
"252","1kmE3806N3114",4093.2582285
"253","1kmE3806N3115",2816.90992
"254","1kmE3806N3116",2753.279768
"255","1kmE3806N3117",4352.088661
"256","1kmE3806N3118",7200.007165
"257","1kmE3806N3119",5692.173562
"258","1kmE3806N3120",5477.101742
"259","1kmE3806N3121",6110.453839
"260","1kmE3806N3122",7782.459841
"261","1kmE3806N3123",8546.1764295
"262","1kmE3806N3124",5190.015852
"263","1kmE3806N3125",7711.108168
"264","1kmE3806N3126",9804.7559205
"265","1kmE3806N3127",6652.837979
"266","1kmE3806N3128",7734.371818
"267","1kmE3806N3129",9521.891267
"268","1kmE3806N3130",10431.4280645
"269","1kmE3806N3131",13400.900865
"270","1kmE3806N3132",12704.787923
"271","1kmE3806N3133",15298.21837
"272","1kmE3806N3134",18388.3104755
"273","1kmE3806N3135",21406.7299115
"274","1kmE3806N3136",21568.3843115
"275","1kmE3806N3137",20414.915766
"276","1kmE3806N3138",12804.433941
"277","1kmE3806N3139",562.3777055
"278","1kmE3807N3099",567.5752705
"279","1kmE3807N3103",205.0163915
"280","1kmE3807N3104",748.1192315
"281","1kmE3807N3105",4646.816402
"282","1kmE3807N3106",4101.3772915
"283","1kmE3807N3107",6187.44255
"284","1kmE3807N3108",7954.149626
"285","1kmE3807N3109",8761.9439475
"286","1kmE3807N3110",10223.9386035
"287","1kmE3807N3111",10729.8061215
"288","1kmE3807N3112",10621.876659
"289","1kmE3807N3113",10329.7386815
"290","1kmE3807N3114",5386.329451
"291","1kmE3807N3115",4008.779156
"292","1kmE3807N3116",3627.136733
"293","1kmE3807N3117",4506.999463
"294","1kmE3807N3118",4662.662615
"295","1kmE3807N3119",4435.29686
"296","1kmE3807N3120",4762.9706375
"297","1kmE3807N3121",6436.0770395
"298","1kmE3807N3122",5635.5905725
"299","1kmE3807N3123",5846.3608485
"300","1kmE3807N3124",6629.6394475
"301","1kmE3807N3125",6428.7338355
"302","1kmE3807N3126",6150.363626
"303","1kmE3807N3127",6844.578368
"304","1kmE3807N3128",7027.5233125
"305","1kmE3807N3129",11503.2130475
"306","1kmE3807N3130",13698.010633
"307","1kmE3807N3131",15598.8804365
"308","1kmE3807N3132",17021.391122
"309","1kmE3807N3133",16743.3516925
"310","1kmE3807N3134",17207.3201825
"311","1kmE3807N3135",17462.3738025
"312","1kmE3807N3136",20747.98221
"313","1kmE3807N3137",22202.369544
"314","1kmE3807N3138",19432.628887
"315","1kmE3807N3139",19315.25231
"316","1kmE3807N3140",17671.9553775
"317","1kmE3807N3141",9569.010053
"318","1kmE3808N3095",571.9797335
"319","1kmE3808N3096",1770.876603
"320","1kmE3808N3097",4896.711948
"321","1kmE3808N3098",7921.033509
"322","1kmE3808N3099",8153.678582
"323","1kmE3808N3100",5876.3110175
"324","1kmE3808N3101",2406.622501
"325","1kmE3808N3102",1941.7201345
"326","1kmE3808N3103",6877.0466855
"327","1kmE3808N3104",5289.136231
"328","1kmE3808N3105",1582.966233
"329","1kmE3808N3106",8572.6680225
"330","1kmE3808N3107",8706.457891
"331","1kmE3808N3108",8727.7401795
"332","1kmE3808N3109",8020.8159815
"333","1kmE3808N3110",10700.576462
"334","1kmE3808N3111",12201.7636465
"335","1kmE3808N3112",9962.150271
"336","1kmE3808N3113",8261.536981
"337","1kmE3808N3114",7516.664427
"338","1kmE3808N3115",6085.5359175
"339","1kmE3808N3116",6322.279091
"340","1kmE3808N3117",6052.2863825
"341","1kmE3808N3118",5619.9182235
"342","1kmE3808N3119",5702.6084645
"343","1kmE3808N3120",8429.6934305
"344","1kmE3808N3121",9203.4516805
"345","1kmE3808N3122",4418.0847495
"346","1kmE3808N3123",6143.9617155
"347","1kmE3808N3124",7637.0343615
"348","1kmE3808N3125",6099.196938
"349","1kmE3808N3126",4410.2044735
"350","1kmE3808N3127",3333.0688185
"351","1kmE3808N3128",8143.7801505
"352","1kmE3808N3129",12523.7504075
"353","1kmE3808N3130",12867.4347795
"354","1kmE3808N3131",12893.9870875
"355","1kmE3808N3132",15710.0798995
"356","1kmE3808N3133",15051.583951
"357","1kmE3808N3134",13420.4937385
"358","1kmE3808N3135",14635.79104
"359","1kmE3808N3136",17776.463168
"360","1kmE3808N3137",21650.2422765
"361","1kmE3808N3138",20407.2431965
"362","1kmE3808N3139",19808.1419715
"363","1kmE3808N3140",18887.170279
"364","1kmE3808N3141",18357.399398
"365","1kmE3808N3142",3114.310018
"366","1kmE3808N3143",205.0163905
"367","1kmE3809N3094",1479.282095
