"","eeacellcode","pd"
"1","5kmE3795N3130",29502.122793
"2","5kmE3795N3135",23585.1596945
"3","5kmE3800N3100",21086.5630575
"4","5kmE3800N3105",19489.750015
"5","5kmE3800N3110",20032.593142
"6","5kmE3800N3115",19493.9951445
"7","5kmE3800N3120",19293.9247625
"8","5kmE3800N3125",25059.4193105
"9","5kmE3800N3130",31569.5648015
"10","5kmE3800N3135",30525.04657
"11","5kmE3805N3095",24189.9549425
"12","5kmE3805N3100",22274.1879665
"13","5kmE3805N3105",22526.5982105
"14","5kmE3805N3110",20725.2410915
"15","5kmE3805N3115",19112.0753475
"16","5kmE3805N3120",18913.222824
"17","5kmE3805N3125",22305.960051
"18","5kmE3805N3130",29656.945512
"19","5kmE3805N3135",32113.991805
"20","5kmE3805N3140",24467.903066
"21","5kmE3810N3090",22406.50049
"22","5kmE3810N3095",25520.3522525
"23","5kmE3810N3100",23391.9406565
"24","5kmE3810N3105",21978.606594
"25","5kmE3810N3110",18828.301903
"26","5kmE3810N3115",21151.8459355
"27","5kmE3810N3120",21327.115586
"28","5kmE3810N3125",22286.9837755
"29","5kmE3810N3130",23543.490401
"30","5kmE3810N3135",31814.9123005
"31","5kmE3810N3140",28397.296019
"32","5kmE3815N3090",21066.6011475
"33","5kmE3815N3095",22732.684035
"34","5kmE3815N3100",23447.763591
"35","5kmE3815N3105",22569.339805
"36","5kmE3815N3110",21020.043563
"37","5kmE3815N3115",20678.0814895
"38","5kmE3815N3120",22926.3588315
"39","5kmE3815N3125",20320.5889105
"40","5kmE3815N3130",18900.1754995
"41","5kmE3815N3135",26291.4814805
"42","5kmE3815N3140",27348.459103
"43","5kmE3815N3145",9757.476862
"44","5kmE3820N3095",19587.2934865
"45","5kmE3820N3100",27115.93699
"46","5kmE3820N3105",26186.6537865
"47","5kmE3820N3110",18035.9356155
"48","5kmE3820N3115",20521.796597
"49","5kmE3820N3120",23294.007454
"50","5kmE3820N3125",22987.200645
"51","5kmE3820N3130",19872.532519
"52","5kmE3820N3135",18146.532374
"53","5kmE3820N3140",23257.663128
"54","5kmE3820N3145",25384.183453
"55","5kmE3825N3095",19565.367747
"56","5kmE3825N3100",23239.6813435
"57","5kmE3825N3105",24301.460601
"58","5kmE3825N3110",17142.7776375
"59","5kmE3825N3115",25741.1980455
"60","5kmE3825N3120",21853.717613
"61","5kmE3825N3125",21088.0036785
"62","5kmE3825N3130",20041.982299
"63","5kmE3825N3135",21092.7188645
"64","5kmE3825N3140",23106.5697965
"65","5kmE3825N3145",27447.352895
"66","5kmE3825N3150",19625.829543
"67","5kmE3830N3095",22208.2262955
"68","5kmE3830N3100",19565.537047
"69","5kmE3830N3105",18153.572717
"70","5kmE3830N3110",18901.1732845
"71","5kmE3830N3115",22140.384941
"72","5kmE3830N3120",20597.886061
"73","5kmE3830N3125",22738.036274
"74","5kmE3830N3130",21332.4874215
"75","5kmE3830N3135",23079.418688
"76","5kmE3830N3140",24242.9448225
"77","5kmE3830N3145",28211.8781365
"78","5kmE3830N3150",27717.211913
"79","5kmE3835N3090",20409.592054
"80","5kmE3835N3095",21942.6324995
"81","5kmE3835N3100",19692.61301
"82","5kmE3835N3105",18792.1999305
"83","5kmE3835N3110",24872.7949535
"84","5kmE3835N3115",24004.00227
"85","5kmE3835N3120",20722.2778635
"86","5kmE3835N3125",23318.0037545
"87","5kmE3835N3130",25374.994103
"88","5kmE3835N3135",26871.788823
"89","5kmE3835N3140",26655.033718
"90","5kmE3835N3145",23058.762477
"91","5kmE3835N3150",27538.59925
"92","5kmE3835N3155",18003.538692
"93","5kmE3840N3090",21142.9943715
"94","5kmE3840N3095",24439.5971505
"95","5kmE3840N3100",23780.136896
"96","5kmE3840N3105",19515.131369
"97","5kmE3840N3110",24321.7320465
"98","5kmE3840N3115",22651.135132
"99","5kmE3840N3120",21570.9154745
"100","5kmE3840N3125",21635.121117
"101","5kmE3840N3130",23306.942416
"102","5kmE3840N3135",27495.82398
"103","5kmE3840N3140",28240.312227
"104","5kmE3840N3145",23892.831554
"105","5kmE3840N3150",23262.9260055
"106","5kmE3840N3155",24926.933508
"107","5kmE3845N3090",20925.0514715
"108","5kmE3845N3095",25973.1724825
"109","5kmE3845N3100",27387.0457025
"110","5kmE3845N3105",20284.952511
"111","5kmE3845N3110",24392.356597
"112","5kmE3845N3115",23369.7408485
"113","5kmE3845N3120",20946.124262
"114","5kmE3845N3125",22188.3249115
"115","5kmE3845N3130",25758.087346
"116","5kmE3845N3135",29519.2387705
"117","5kmE3845N3140",30968.481606
"118","5kmE3845N3145",29037.1016055
"119","5kmE3845N3150",26684.2758665
"120","5kmE3845N3155",26639.019935
"121","5kmE3845N3160",12670.4131865
"122","5kmE3850N3085",17726.262949
"123","5kmE3850N3090",23858.3193875
"124","5kmE3850N3095",26865.226632
"125","5kmE3850N3100",27367.8530315
"126","5kmE3850N3105",24424.319868
"127","5kmE3850N3110",21039.5511405
"128","5kmE3850N3115",21313.7781805
"129","5kmE3850N3120",20491.350068
"130","5kmE3850N3125",26039.8612535
"131","5kmE3850N3130",27715.193689
"132","5kmE3850N3135",28194.7845595
"133","5kmE3850N3140",29290.351602
"134","5kmE3850N3145",28367.143712
"135","5kmE3850N3150",24616.6774475
"136","5kmE3850N3155",28226.266767
"137","5kmE3850N3160",20828.2805375
"138","5kmE3855N3085",12882.987403
"139","5kmE3855N3090",25830.575436
"140","5kmE3855N3095",24254.0395005
"141","5kmE3855N3100",23161.099216
"142","5kmE3855N3105",25490.5857045
"143","5kmE3855N3110",22162.1545495
"144","5kmE3855N3115",20392.2637335
"145","5kmE3855N3120",19266.906494
"146","5kmE3855N3125",26538.018778
"147","5kmE3855N3130",27004.4903635
"148","5kmE3855N3135",24519.055645
"149","5kmE3855N3140",25527.531293
"150","5kmE3855N3145",26442.638084
"151","5kmE3855N3150",26708.6977915
