"","eeacellcode","pd"
"1","5kmE3795N3130",28083.238089
"2","5kmE3795N3135",22493.57019
"3","5kmE3800N3100",21013.6153425
"4","5kmE3800N3105",19408.3151935
"5","5kmE3800N3110",19951.1583205
"6","5kmE3800N3115",19164.2461375
"7","5kmE3800N3120",19072.8475265
"8","5kmE3800N3125",24186.0084735
"9","5kmE3800N3130",29979.981567
"10","5kmE3800N3135",28889.631259
"11","5kmE3805N3095",23797.3340375
"12","5kmE3805N3100",21973.6532485
"13","5kmE3805N3105",22207.6387445
"14","5kmE3805N3110",20542.759542
"15","5kmE3805N3115",19001.9206665
"16","5kmE3805N3120",18715.706683
"17","5kmE3805N3125",22065.2260295
"18","5kmE3805N3130",28360.5752325
"19","5kmE3805N3135",30350.8094455
"20","5kmE3805N3140",23450.7645915
"21","5kmE3810N3090",22011.963148
"22","5kmE3810N3095",25019.2618865
"23","5kmE3810N3100",23023.899425
"24","5kmE3810N3105",21668.1049085
"25","5kmE3810N3110",18768.493319
"26","5kmE3810N3115",20847.47577
"27","5kmE3810N3120",20764.9292345
"28","5kmE3810N3125",21866.146113
"29","5kmE3810N3130",23039.142426
"30","5kmE3810N3135",29826.3260365
"31","5kmE3810N3140",27029.302661
"32","5kmE3815N3090",20881.3181715
"33","5kmE3815N3095",22422.18985
"34","5kmE3815N3100",23146.8676805
"35","5kmE3815N3105",22487.9049835
"36","5kmE3815N3110",21020.043563
"37","5kmE3815N3115",20356.4289855
"38","5kmE3815N3120",22030.201865
"39","5kmE3815N3125",19974.002334
"40","5kmE3815N3130",18343.170819
"41","5kmE3815N3135",24989.2401725
"42","5kmE3815N3140",25935.913549
"43","5kmE3815N3145",9177.503643
"44","5kmE3820N3095",19203.7614605
"45","5kmE3820N3100",26466.7945445
"46","5kmE3820N3105",25440.105741
"47","5kmE3820N3110",18005.5211365
"48","5kmE3820N3115",20364.771528
"49","5kmE3820N3120",22664.338036
"50","5kmE3820N3125",22474.126056
"51","5kmE3820N3130",19305.018969
"52","5kmE3820N3135",17910.7871045
"53","5kmE3820N3140",22741.675488
"54","5kmE3820N3145",24448.4287205
"55","5kmE3825N3095",19347.425824
"56","5kmE3825N3100",22715.938714
"57","5kmE3825N3105",23780.5466365
"58","5kmE3825N3110",16954.479395
"59","5kmE3825N3115",25105.999355
"60","5kmE3825N3120",21164.260058
"61","5kmE3825N3125",20796.916945
"62","5kmE3825N3130",19894.214863
"63","5kmE3825N3135",20722.479196
"64","5kmE3825N3140",22594.450575
"65","5kmE3825N3145",26322.616445
"66","5kmE3825N3150",19200.8864955
"67","5kmE3830N3095",22177.8118165
"68","5kmE3830N3100",19279.658218
"69","5kmE3830N3105",18123.158238
"70","5kmE3830N3110",18850.3950605
"71","5kmE3830N3115",21517.557661
"72","5kmE3830N3120",20339.140752
"73","5kmE3830N3125",22588.38086
"74","5kmE3830N3130",20945.5359975
"75","5kmE3830N3135",22706.8126665
"76","5kmE3830N3140",23877.8907515
"77","5kmE3830N3145",26941.175516
"78","5kmE3830N3150",26703.4045885
"79","5kmE3835N3090",19978.439573
"80","5kmE3835N3095",21820.037173
"81","5kmE3835N3100",19401.045954
"82","5kmE3835N3105",18628.495266
"83","5kmE3835N3110",24302.0201855
"84","5kmE3835N3115",23279.0015125
"85","5kmE3835N3120",20296.9516515
"86","5kmE3835N3125",23040.4574225
"87","5kmE3835N3130",24865.0778095
"88","5kmE3835N3135",26112.8184005
"89","5kmE3835N3140",25927.422123
"90","5kmE3835N3145",22399.827407
"91","5kmE3835N3150",26185.6993255
"92","5kmE3835N3155",17523.800106
"93","5kmE3840N3090",20772.7442185
"94","5kmE3840N3095",23812.1507145
"95","5kmE3840N3100",23549.952994
"96","5kmE3840N3105",19392.4138685
"97","5kmE3840N3110",24007.949767
"98","5kmE3840N3115",21888.984658
"99","5kmE3840N3120",21018.8263495
"100","5kmE3840N3125",21237.5020185
"101","5kmE3840N3130",22787.928489
