"","eeacellcode","sp_richness"
"1","5kmE3795N3130",473
"2","5kmE3795N3135",330
"3","5kmE3800N3100",325
"4","5kmE3800N3105",289
"5","5kmE3800N3110",299
"6","5kmE3800N3115",283
"7","5kmE3800N3120",278
"8","5kmE3800N3125",371
"9","5kmE3800N3130",506
"10","5kmE3800N3135",484
"11","5kmE3805N3095",360
"12","5kmE3805N3100",326
"13","5kmE3805N3105",339
"14","5kmE3805N3110",318
"15","5kmE3805N3115",285
"16","5kmE3805N3120",279
"17","5kmE3805N3125",338
"18","5kmE3805N3130",466
"19","5kmE3805N3135",526
"20","5kmE3805N3140",363
"21","5kmE3810N3090",328
"22","5kmE3810N3095",379
"23","5kmE3810N3100",353
"24","5kmE3810N3105",332
"25","5kmE3810N3110",277
"26","5kmE3810N3115",314
"27","5kmE3810N3120",310
"28","5kmE3810N3125",337
"29","5kmE3810N3130",365
"30","5kmE3810N3135",516
"31","5kmE3810N3140",448
"32","5kmE3815N3090",311
"33","5kmE3815N3095",332
"34","5kmE3815N3100",337
"35","5kmE3815N3105",335
"36","5kmE3815N3110",311
"37","5kmE3815N3115",301
"38","5kmE3815N3120",340
"39","5kmE3815N3125",298
"40","5kmE3815N3130",274
"41","5kmE3815N3135",401
"42","5kmE3815N3140",416
"43","5kmE3815N3145",104
"44","5kmE3820N3095",283
"45","5kmE3820N3100",426
"46","5kmE3820N3105",394
"47","5kmE3820N3110",260
"48","5kmE3820N3115",302
"49","5kmE3820N3120",353
"50","5kmE3820N3125",339
"51","5kmE3820N3130",281
"52","5kmE3820N3135",260
"53","5kmE3820N3140",357
"54","5kmE3820N3145",388
"55","5kmE3825N3095",284
"56","5kmE3825N3100",347
"57","5kmE3825N3105",364
"58","5kmE3825N3110",242
"59","5kmE3825N3115",400
"60","5kmE3825N3120",322
"61","5kmE3825N3125",314
"62","5kmE3825N3130",296
"63","5kmE3825N3135",301
"64","5kmE3825N3140",355
"65","5kmE3825N3145",439
"66","5kmE3825N3150",289
"67","5kmE3830N3095",341
"68","5kmE3830N3100",285
"69","5kmE3830N3105",263
"70","5kmE3830N3110",279
"71","5kmE3830N3115",334
"72","5kmE3830N3120",315
"73","5kmE3830N3125",366
"74","5kmE3830N3130",327
"75","5kmE3830N3135",341
"76","5kmE3830N3140",385
"77","5kmE3830N3145",448
"78","5kmE3830N3150",436
"79","5kmE3835N3090",289
"80","5kmE3835N3095",338
"81","5kmE3835N3100",290
"82","5kmE3835N3105",270
"83","5kmE3835N3110",373
"84","5kmE3835N3115",366
"85","5kmE3835N3120",308
"86","5kmE3835N3125",358
"87","5kmE3835N3130",384
"88","5kmE3835N3135",408
"89","5kmE3835N3140",411
"90","5kmE3835N3145",351
"91","5kmE3835N3150",426
"92","5kmE3835N3155",242
"93","5kmE3840N3090",310
"94","5kmE3840N3095",376
"95","5kmE3840N3100",366
"96","5kmE3840N3105",284
"97","5kmE3840N3110",377
"98","5kmE3840N3115",335
"99","5kmE3840N3120",305
"100","5kmE3840N3125",317
"101","5kmE3840N3130",350
"102","5kmE3840N3135",433
"103","5kmE3840N3140",464
"104","5kmE3840N3145",377
"105","5kmE3840N3150",370
"106","5kmE3840N3155",386
"107","5kmE3845N3090",314
"108","5kmE3845N3095",412
"109","5kmE3845N3100",421
"110","5kmE3845N3105",287
"111","5kmE3845N3110",376
"112","5kmE3845N3115",365
"113","5kmE3845N3120",310
"114","5kmE3845N3125",333
"115","5kmE3845N3130",400
"116","5kmE3845N3135",478
"117","5kmE3845N3140",501
"118","5kmE3845N3145",466
"119","5kmE3845N3150",423
"120","5kmE3845N3155",424
"121","5kmE3845N3160",152
"122","5kmE3850N3085",253
"123","5kmE3850N3090",372
"124","5kmE3850N3095",421
"125","5kmE3850N3100",444
"126","5kmE3850N3105",369
"127","5kmE3850N3110",307
"128","5kmE3850N3115",334
"129","5kmE3850N3120",305
"130","5kmE3850N3125",378
"131","5kmE3850N3130",428
"132","5kmE3850N3135",445
"133","5kmE3850N3140",471
"134","5kmE3850N3145",455
"135","5kmE3850N3150",379
"136","5kmE3850N3155",440
"137","5kmE3850N3160",291
"138","5kmE3855N3085",158
"139","5kmE3855N3090",400
"140","5kmE3855N3095",373
"141","5kmE3855N3100",349
"142","5kmE3855N3105",402
"143","5kmE3855N3110",333
"144","5kmE3855N3115",299
"145","5kmE3855N3120",272
"146","5kmE3855N3125",417
"147","5kmE3855N3130",432
"148","5kmE3855N3135",395
"149","5kmE3855N3140",392
"150","5kmE3855N3145",419
"151","5kmE3855N3150",408
"152","5kmE3855N3155",494
"153","5kmE3855N3160",409
"154","5kmE3860N3090",425
"155","5kmE3860N3095",401
"156","5kmE3860N3100",371
"157","5kmE3860N3105",398
"158","5kmE3860N3110",380
"159","5kmE3860N3115",373
"160","5kmE3860N3120",320
"161","5kmE3860N3125",400
"162","5kmE3860N3130",406
"163","5kmE3860N3135",395
"164","5kmE3860N3140",391
"165","5kmE3860N3145",395
"166","5kmE3860N3150",394
"167","5kmE3860N3155",432
"168","5kmE3860N3160",371
"169","5kmE3865N3085",341
"170","5kmE3865N3090",390
"171","5kmE3865N3095",436
"172","5kmE3865N3100",389
"173","5kmE3865N3105",352
"174","5kmE3865N3110",389
"175","5kmE3865N3115",447
"176","5kmE3865N3120",369
"177","5kmE3865N3125",415
"178","5kmE3865N3130",412
"179","5kmE3865N3135",404
"180","5kmE3865N3140",396
"181","5kmE3865N3145",363
"182","5kmE3865N3150",375
"183","5kmE3870N3085",376
"184","5kmE3870N3090",400
"185","5kmE3870N3095",427
"186","5kmE3870N3100",461
"187","5kmE3870N3105",379
"188","5kmE3870N3110",412
"189","5kmE3870N3115",445
"190","5kmE3870N3120",433
"191","5kmE3870N3125",421
"192","5kmE3870N3130",374
"193","5kmE3870N3135",413
"194","5kmE3870N3140",357
