"","year","diversity_val"
"1",1975,680
"2",1976,746
"3",1977,669
"4",1978,828
"5",1979,782
"6",1980,938
"7",1981,818
"8",1982,823
"9",1983,921
"10",1984,909
"11",1985,911
"12",1986,833
"13",1987,789
"14",1988,823
"15",1989,830
"16",1990,745
"17",1991,836
"18",1992,1010
"19",1993,887
"20",1994,832
"21",1995,827
"22",1996,868
"23",1997,911
"24",1998,941
"25",1999,1031
"26",2000,1021
"27",2001,1012
"28",2002,1102
"29",2003,1082
"30",2004,1113
"31",2005,1229
"32",2006,1251
"33",2007,1417
"34",2008,1509
"35",2009,1698
"36",2010,1731
"37",2011,1891
"38",2012,1862
"39",2013,1938
"40",2014,2043
"41",2015,2077
"42",2016,2107
"43",2017,2170
"44",2018,2225
"45",2019,2253
"46",2020,2284
"47",2021,2375
"48",2022,2378
"49",2023,2362
"50",2024,2465
"51",2025,2206
