"","year","diversity_val","int_type","ll","ul","conf_level"
"1",1975,0.733686772485708,"normal",0.720119023236849,0.74571612109944,0.95
"2",1976,0.730829409290001,"normal",0.721833930878579,0.73964128927022,0.95
"3",1977,0.750921007291778,"normal",0.741122999335143,0.760349897741433,0.95
"4",1978,0.739787849840102,"normal",0.731359382907326,0.747930754694112,0.95
"5",1979,0.733985563780999,"normal",0.724040878204966,0.74177176254845,0.95
"6",1980,0.729249667156249,"normal",0.719210683706658,0.740231153801502,0.95
"7",1981,0.711759778695364,"normal",0.703152309370096,0.720940501205325,0.95
"8",1982,0.734586233812138,"normal",0.72534816045176,0.743928704276297,0.95
"9",1983,0.714145281940408,"normal",0.703674353556615,0.723220466276996,0.95
"10",1984,0.655729622454225,"normal",0.636758734569186,0.671584370561871,0.95
"11",1985,0.70439881298546,"normal",0.683735061413443,0.718648308207685,0.95
"12",1986,0.694433394531932,"normal",0.682341352394222,0.706047729177193,0.95
"13",1987,0.752700657703281,"normal",0.744532228053116,0.760135062030454,0.95
"14",1988,0.686900600994031,"normal",0.673627365136667,0.700006338593207,0.95
"15",1989,0.739304285316533,"normal",0.727894163382666,0.749167092321946,0.95
"16",1990,0.731676061335595,"normal",0.719373005397957,0.743546312386031,0.95
"17",1991,0.746812510008861,"normal",0.737263320881549,0.756940231929765,0.95
"18",1992,0.747969545721554,"normal",0.738978557831168,0.755080341335199,0.95
"19",1993,0.69769319591777,"normal",0.68226368300608,0.711702272153848,0.95
"20",1994,0.729765337784782,"normal",0.716985707362776,0.743537778060084,0.95
"21",1995,0.747536527624554,"normal",0.737115385744367,0.756464825192397,0.95
"22",1996,0.737184179716365,"normal",0.726898243530351,0.746861016755739,0.95
"23",1997,0.728958695637893,"normal",0.718590790957679,0.741149538808856,0.95
"24",1998,0.727874701759869,"normal",0.718417738626033,0.737497876382078,0.95
"25",1999,0.73881053076388,"normal",0.727380082665882,0.750954586109538,0.95
"26",2000,0.770010695012091,"normal",0.762123313461549,0.778450073568183,0.95
"27",2001,0.755554342191673,"normal",0.746554982304746,0.764509116270833,0.95
"28",2002,0.743670611961166,"normal",0.734235040863658,0.752639954129224,0.95
"29",2003,0.768406193392126,"normal",0.760218125982858,0.776185210642964,0.95
"30",2004,0.735293069405956,"normal",0.725589051680796,0.745921542894053,0.95
"31",2005,0.766952462829541,"normal",0.759179416713209,0.774416993365545,0.95
"32",2006,0.771657681198355,"normal",0.76264004001846,0.780565077258287,0.95
"33",2007,0.743678974005823,"normal",0.731440450684211,0.755245973945183,0.95
"34",2008,0.760976893046356,"normal",0.746066323652777,0.773897320815701,0.95
"35",2009,0.774708229913452,"normal",0.767535511793089,0.781286325445271,0.95
"36",2010,0.77810439843492,"normal",0.772224433140197,0.784607889833507,0.95
"37",2011,0.786651655578846,"normal",0.779586580951316,0.792250250527394,0.95
"38",2012,0.778331249289435,"normal",0.771690723176421,0.785292123407791,0.95
"39",2013,0.775538209333946,"normal",0.769319084797,0.781528612777428,0.95
"40",2014,0.782880206949575,"normal",0.7761815539971,0.789756070508925,0.95
"41",2015,0.767871347652729,"normal",0.760913920827918,0.775742726843656,0.95
"42",2016,0.759359974838106,"normal",0.75112359958387,0.766832849366713,0.95
"43",2017,0.751013149042997,"normal",0.739845162725945,0.761750561470384,0.95
"44",2018,0.724554985608814,"normal",0.710631467275992,0.739361165615386,0.95
"45",2019,0.744664569060816,"normal",0.731792858971848,0.755739172203317,0.95
"46",2020,0.762994477633233,"normal",0.751562386873364,0.773942709700149,0.95
"47",2021,0.771736605039469,"normal",0.76253834787468,0.779812421731481,0.95
"48",2022,0.769361616713389,"normal",0.760094152895295,0.779453330345896,0.95
"49",2023,0.768634059959278,"normal",0.759980721892017,0.777284291936806,0.95
"50",2024,0.748552645512872,"normal",0.727892980785593,0.769877962367947,0.95
"51",2025,0.698665313483761,"normal",0.676888489755233,0.718229309366726,0.95
