"","year","diversity_val","int_type","ll","ul","conf_level"
"1",1975,2232,"normal",2216.96873950946,2248.87126049054,0.95
"2",1976,4989,"normal",4955.62693694104,5018.69306305896,0.95
"3",1977,1791,"normal",1776.58672390136,1803.81327609864,0.95
"4",1978,6746,"normal",6656.64841392165,6837.23158607835,0.95
"5",1979,7451,"normal",7421.22361530652,7479.33638469348,0.95
"6",1980,17446,"normal",17286.4189060145,17587.4610939855,0.95
"7",1981,11944,"normal",11834.2044340671,12040.3955659329,0.95
"8",1982,6049,"normal",5989.33978017464,6104.44021982536,0.95
"9",1983,14623,"normal",14341.704637785,14910.435362215,0.95
"10",1984,18685,"normal",18496.8595613709,18871.0204386291,0.95
"11",1985,6080,"normal",5974.81870592916,6191.90129407084,0.95
"12",1986,8435,"normal",8389.64501725109,8480.23498274891,0.95
"13",1987,3788,"normal",3758.04855481392,3817.73144518608,0.95
"14",1988,11659,"normal",11562.8027281048,11757.3172718952,0.95
"15",1989,6295,"normal",6251.2590225959,6339.9809774041,0.95
"16",1990,4599,"normal",4558.04949671384,4636.67050328616,0.95
"17",1991,5392,"normal",5338.75520793667,5448.38479206333,0.95
"18",1992,12306,"normal",12218.1298769929,12391.8901230071,0.95
"19",1993,8457,"normal",8110.15773602045,8760.52226397955,0.95
"20",1994,6391,"normal",6360.9459133252,6421.3940866748,0.95
"21",1995,3857,"normal",3827.34852732479,3887.97147267521,0.95
"22",1996,6699,"normal",6599.04571094674,6799.11428905326,0.95
"23",1997,8678,"normal",8577.9339486333,8776.9060513667,0.95
"24",1998,10590,"normal",10548.4048827425,10636.6351172575,0.95
"25",1999,8676,"normal",8512.26075721321,8837.55924278679,0.95
"26",2000,7757,"normal",7731.0829961739,7778.8570038261,0.95
"27",2001,8018,"normal",7985.58773141603,8045.57226858397,0.95
"28",2002,16562,"normal",16433.26146304,16698.01853696,0.95
"29",2003,7956,"normal",7920.9380070899,7989.5219929101,0.95
"30",2004,12260,"normal",12114.9722832188,12412.9477167812,0.95
"31",2005,17646,"normal",17510.4534977462,17779.0265022538,0.95
"32",2006,16450,"normal",16311.4504308136,16587.1095691864,0.95
"33",2007,26867,"normal",26619.5080097288,27082.9319902712,0.95
"34",2008,56498,"normal",55075.7805306947,58020.7994693053,0.95
"35",2009,110655,"normal",108620.208009222,112823.171990778,0.95
"36",2010,142613,"normal",141704.63042311,143452.08957689,0.95
"37",2011,148737,"normal",148082.671931842,149389.428068158,0.95
"38",2012,178892,"normal",177505.441217441,180110.538782559,0.95
"39",2013,193405,"normal",192503.226446309,194213.233553691,0.95
"40",2014,232422,"normal",231561.763409301,233273.136590699,0.95
"41",2015,359603,"normal",357853.537219401,361296.222780599,0.95
"42",2016,443104,"normal",441556.698596667,444615.421403333,0.95
"43",2017,616326,"normal",610348.973392749,622163.826607251,0.95
"44",2018,920487,"normal",902500.932273727,938126.627726273,0.95
"45",2019,464179,"normal",456501.023799757,472683.336200243,0.95
"46",2020,376123,"normal",366527.261093811,385478.498906189,0.95
"47",2021,501407,"normal",496757.509608057,506334.070391943,0.95
"48",2022,525712,"normal",517184.013562271,533339.646437729,0.95
"49",2023,514573,"normal",508270.026056944,520568.833943056,0.95
"50",2024,471074,"normal",461183.173076629,480407.706923371,0.95
"51",2025,298484,"normal",293099.482676056,303348.637323944,0.95
