"","year","diversity_val","int_type","ll","ul","conf_level"
"1",1975,0.94095424365809,"normal",0.934357216885111,0.948158490248791,0.95
"2",1976,0.946753107804093,"normal",0.94447312598312,0.949062735234875,0.95
"3",1977,0.952832913655031,"normal",0.950392792255155,0.955243425205208,0.95
"4",1978,0.947912205050764,"normal",0.945181182431584,0.950590328341779,0.95
"5",1979,0.947784015917917,"normal",0.945236382494811,0.950085169062126,0.95
"6",1980,0.943718892418353,"normal",0.940522555071116,0.946809787930209,0.95
"7",1981,0.939380850958221,"normal",0.936288002955565,0.942171260801907,0.95
"8",1982,0.945650699663529,"normal",0.943055073557982,0.948288849555684,0.95
"9",1983,0.937886724461484,"normal",0.934602752815407,0.94115569371356,0.95
"10",1984,0.907780692666506,"normal",0.896117542848053,0.919353778268773,0.95
"11",1985,0.921632954123593,"normal",0.912328245495071,0.931464335513293,0.95
"12",1986,0.926572804585371,"normal",0.921703029548696,0.931989974939246,0.95
"13",1987,0.951723375666924,"normal",0.949654024336841,0.953957979379097,0.95
"14",1988,0.923932405828316,"normal",0.918366864652541,0.928332221463282,0.95
"15",1989,0.944839338422878,"normal",0.940476052173135,0.949744056453509,0.95
"16",1990,0.94221860000883,"normal",0.937502840616342,0.947063053890528,0.95
"17",1991,0.947336586429131,"normal",0.94304549216851,0.951159079300641,0.95
"18",1992,0.948341971979846,"normal",0.945896368430014,0.95093253380662,0.95
"19",1993,0.922310451695655,"normal",0.912104903357276,0.929634850095267,0.95
"20",1994,0.939528597221486,"normal",0.930687974397546,0.948258151527,0.95
"21",1995,0.948664168920947,"normal",0.945654998188365,0.951382537427662,0.95
"22",1996,0.942401320438902,"normal",0.937795197425718,0.947055548814022,0.95
"23",1997,0.940102631712522,"normal",0.935853690678487,0.944202654678678,0.95
"24",1998,0.940529823506964,"normal",0.937182599568933,0.944155973160716,0.95
"25",1999,0.939666488305443,"normal",0.934584162421075,0.945114103401754,0.95
"26",2000,0.954376745606186,"normal",0.952503750036505,0.956255805509905,0.95
"27",2001,0.95023085903182,"normal",0.948318761367132,0.952093989475842,0.95
"28",2002,0.945206484305661,"normal",0.941720008841411,0.948677013386501,0.95
"29",2003,0.952628322242718,"normal",0.950158619430888,0.954758854471294,0.95
"30",2004,0.94081630245887,"normal",0.937263182059882,0.944860767444727,0.95
"31",2005,0.953118200882926,"normal",0.95128326826397,0.955488079801475,0.95
"32",2006,0.951326122114193,"normal",0.94787672623025,0.955005328814489,0.95
"33",2007,0.940689742067965,"normal",0.936011299843993,0.94471413500808,0.95
"34",2008,0.943547124887797,"normal",0.935130955760021,0.950478314098624,0.95
"35",2009,0.953104038439195,"normal",0.950199897534207,0.956163019427362,0.95
"36",2010,0.955242155340112,"normal",0.953340981988431,0.957136761192777,0.95
"37",2011,0.95659765870269,"normal",0.954867824080157,0.958271407183748,0.95
"38",2012,0.954783025385189,"normal",0.95308390991725,0.956574788347573,0.95
"39",2013,0.953835564658448,"normal",0.951874968257104,0.955858288272539,0.95
"40",2014,0.955520365586541,"normal",0.953714751937071,0.957528260605569,0.95
"41",2015,0.95178332106402,"normal",0.949724723322529,0.953956646455728,0.95
"42",2016,0.949469626052603,"normal",0.947291539342082,0.951868201855543,0.95
"43",2017,0.944729171584717,"normal",0.939291741484192,0.948732920808976,0.95
"44",2018,0.932544217061258,"normal",0.924877772669291,0.938349834040416,0.95
"45",2019,0.939211335557437,"normal",0.933418645493204,0.944646300110009,0.95
"46",2020,0.944626404380089,"normal",0.937468950032805,0.950117816892642,0.95
"47",2021,0.948967229865546,"normal",0.946173338491428,0.951487117190796,0.95
"48",2022,0.946872254461136,"normal",0.943015994172497,0.950794485826128,0.95
"49",2023,0.948385853099673,"normal",0.944993238473698,0.951360739697347,0.95
"50",2024,0.931477961480471,"normal",0.916865295993556,0.946060179932465,0.95
"51",2025,0.916281920696298,"normal",0.905082563652923,0.925942879295681,0.95
